"Story","Title","Result","Date","Stability","Duration (s)"
"SOLI BCP","Realizar el logueo de usuario ya existente","FAILURE","2023-08-07T17:57:24.724-04:00[America/La_Paz]","0.0","115.0"
"SOLI BCP","Realizar el envio a otros soli","SUCCESS","2023-08-07T16:54:06.459-04:00[America/La_Paz]","0.0","106.66"
